instrument,cruise,quantile,fsc,d1,d2
989,DeepDOM,2.5,48336,21424,21696
989,DeepDOM,50,48704,19728,20416
989,DeepDOM,97.5,49104,18176,19088
751,HOT-294,2.5,53024,32512,38304
751,HOT-294,50,53504,30800,36512
751,HOT-294,97.5,53888,29184,34928
740,KiloMoana_1,2.5,50160,19984,13248
740,KiloMoana_1,50,50848,18544,11568
740,KiloMoana_1,97.5,51376,17248,9744
751,KM1712,2.5,53552,45616,50560
751,KM1712,50,54256,43584,49040
751,KM1712,97.5,54912,41888,47520
751,KM1713,2.5,52240,44320,50256
751,KM1713,50,52976,42752,48736
751,KM1713,97.5,53632,41248,47312
751,MESO_SCOPE,2.5,54624,31152,37584
751,MESO_SCOPE,50,55360,29712,36320
751,MESO_SCOPE,97.5,56112,28304,35280
751,MGL1704,2.5,52832,32944,37712
751,MGL1704,50,53808,29392,34528
751,MGL1704,97.5,54576,26304,31456
740,SCOPE_1,2.5,51840,33412,32264
740,SCOPE_1,50,52736,29872,30256
740,SCOPE_1,97.5,53504,27404,28888
751,SCOPE_10,2.5,55360,35248,40016
751,SCOPE_10,50,55952,33168,35888
751,SCOPE_10,97.5,56400,32128,32912
740,SCOPE_11,2.5,50880,32096,36144
740,SCOPE_11,50,51648,29472,32736
740,SCOPE_11,97.5,52384,25216,29520
740,SCOPE_12,2.5,53904,32016,32672
740,SCOPE_12,50,54608,28544,29248
740,SCOPE_12,97.5,55248,25696,26016
740,SCOPE_13,2.5,52000,30608,36800
740,SCOPE_13,50,52544,28976,33136
740,SCOPE_13,97.5,53024,27632,30432
740,SCOPE_14,2.5,51952,31360,33376
740,SCOPE_14,50,52896,28704,29824
740,SCOPE_14,97.5,53424,27328,26928
751,SCOPE_15,2.5,53552,33632,38256
751,SCOPE_15,50,54192,30480,34480
751,SCOPE_15,97.5,54768,28816,29848
751,SCOPE_16,2.5,50448,38656,41776
751,SCOPE_16,50,51136,36192,37440
751,SCOPE_16,97.5,51632,34640,33552
751,SCOPE_17,2.5,49968,37760,40764
751,SCOPE_17,50,50480,36192,36304
751,SCOPE_17,97.5,50928,34960,33344
751,SCOPE_18,2.5,48544,45200,45260
751,SCOPE_18,50,49360,42848,42560
751,SCOPE_18,97.5,50288,40192,38772
751,SCOPE_19,2.5,47616,44272,44752
751,SCOPE_19,50,48608,43376,42320
751,SCOPE_19,97.5,49136,42864,40152
740,SCOPE_2,2.5,52048,32256,33840
740,SCOPE_2,50,52928,27120,29120
740,SCOPE_2,97.5,53680,21440,21760
740,SCOPE_3,2.5,52512,36752,38320
740,SCOPE_3,50,53872,32208,34224
740,SCOPE_3,97.5,54720,28576,29856
740,SCOPE_5,2.5,52240,32176,37104
740,SCOPE_5,50,53184,30368,33456
740,SCOPE_5,97.5,53952,28960,30608
740,SCOPE_6,2.5,53360,33836,36984
740,SCOPE_6,50,54560,31360,33296
740,SCOPE_6,97.5,55648,28932,28960
751,SCOPE_9,2.5,54640,39860,40176
751,SCOPE_9,50,56416,37504,37856
751,SCOPE_9,97.5,57264,36032,35600
740,Thompson_0,2.5,37419,35008,37856
740,Thompson_0,50,39440,33072,34928
740,Thompson_0,97.5,41517,30384,32688
740,Thompson_1,2.5,38963,37040,37456
740,Thompson_1,50,39720,33120,33136
740,Thompson_1,97.5,42141,29520,29264
740,Thompson_10,2.5,37728,28272,26288
740,Thompson_10,50,38560,22848,23008
740,Thompson_10,97.5,39008,19056,20096
740,Thompson_11,2.5,47520,35732,37320
740,Thompson_11,50,48816,31984,34224
740,Thompson_11,97.5,49672,29136,31888
740,Thompson_12,2.5,49472,26080,20400
740,Thompson_12,50,50080,20320,16000
740,Thompson_12,97.5,50496,17328,12336
740,Thompson_3,2.5,31666,23776,27116
740,Thompson_3,50,32443,21648,25112
740,Thompson_3,97.5,33190,20920,24412
740,Thompson_4,2.5,44528,7184,5760
740,Thompson_4,50,45259,5616,2704
740,Thompson_4,97.5,47077,4336,960
740,Thompson_5,2.5,35221,13408,15136
740,Thompson_5,50,36571,12048,11152
740,Thompson_5,97.5,37691,10960,6704
740,Thompson_6,2.5,35216,21392,23520
740,Thompson_6,50,36016,19296,20784
740,Thompson_6,97.5,37116,17712,17568
740,Thompson_7,2.5,30112,20320,16080
740,Thompson_7,50,31104,17488,14064
740,Thompson_7,97.5,31952,13984,11920
740,Thompson_8,2.5,44896,20980,20996
740,Thompson_8,50,45552,18960,18640
740,Thompson_8,97.5,45904,17036,16304
740,Thompson_9,2.5,58832,34160,35072
740,Thompson_9,50,59520,29568,30576
740,Thompson_9,97.5,59968,26368,28160
